repo,group,n_files,n_files_pos_fanin,frac_leaves,max_fanin,mean_fanin,gini,entropy_norm,r2_powerlaw,r2_lognormal,aic_powerlaw,aic_lognormal,bic_powerlaw,bic_lognormal,delta_aic,lognormal_wins,vuong_z,vuong_p,lognormal_coeff_c
celery,baseline,416,170,0.5913461538461539,194.0,3.0048076923076925,0.8706769230769229,0.7943128405787229,0.957907238725669,0.9777028085149143,-490.65772736219236,-596.6782869670798,-484.38613048809185,-587.270891655929,106.02055960488741,True,8.139419594623313,4.440892098500626e-16,-0.11789408265040985
click,baseline,63,17,0.7301587301587301,45.0,4.5396825396825395,0.8445998445998446,0.8939033899012832,0.6774311880118755,0.8682144520332848,-11.906312336869663,-25.123701162594998,-10.23988564875723,-22.624061130426348,13.217388825725335,True,5.536379412408257,3.095725209512068e-08,-0.7359193567826867
django,baseline,2910,871,0.7006872852233677,792.0,3.013058419243986,0.9334386836230466,0.7444392468443185,0.9754083990962316,0.982778522495143,-2924.805535040635,-3233.097247733232,-2915.26625108693,-3218.7883218026745,308.29171269259723,True,5.316178154078651,1.0619347357021525e-07,-0.060524511811106185
fastapi,baseline,1119,159,0.8579088471849866,575.0,1.4575513851653261,0.9806206711015188,0.49466717438572766,0.882692363051003,0.9591779465942397,-295.76564005525444,-461.60244659595634,-289.62783165081396,-452.39573398929565,165.8368065407019,True,7.085862195401442,1.3911094498553211e-12,0.23459787201124183
flask,baseline,83,25,0.6987951807228916,78.0,3.397590361445783,0.8656754678287619,0.8206008653138709,0.9130017007322122,0.9530716316404493,-55.48500494853817,-68.91666015208628,-53.04725329880177,-65.26003267748168,13.431655203548111,True,4.644707505908032,3.4092986749278964e-06,-0.2636193246813323
httpx,baseline,60,25,0.5833333333333334,33.0,2.066666666666667,0.8163978494623656,0.8186167083314742,0.9528543537908785,0.9717232461187334,-73.03431499294165,-83.81435539730538,-70.59656334320525,-80.15772792270077,10.780040404363731,True,3.229233931435755,0.0012413484238762429,-0.17299930727700552
numpy,baseline,494,132,0.7327935222672065,354.0,2.493927125506073,0.9385154319364846,0.6669366348640934,0.9801445270117233,0.9806591636384463,-471.71191248786624,-473.17835817356536,-465.9463086426935,-464.5299524058062,1.4664456856991137,False,1.1142911045163402,0.26515441070899737,-0.020549002083259937
pandas,baseline,1509,331,0.780649436713055,1565.0,4.41948310139165,0.9623419079664066,0.6533224782594002,0.9680974388600417,0.983004853315146,-922.2469150929928,-1128.6969716097099,-914.6426783422387,-1117.2906164835786,206.45005651671704,True,10.16647446574772,0.0,-0.11167767810361312
pydantic,baseline,402,94,0.7661691542288557,240.0,2.455223880597015,0.9166351625862581,0.7894007853195774,0.9043171705302702,0.9517763855522234,-190.93476385117643,-253.3426271026413,-185.8481742866364,-245.7127427558313,62.407863251464875,True,2.975417771419325,0.002926035735611787,-0.2082578488472917
pytest,baseline,262,64,0.7557251908396947,149.0,5.083969465648855,0.9064541640877519,0.8349966437720541,0.8239385057362645,0.9509526425462719,-64.22285183366458,-144.01786131925496,-59.90508566694523,-137.54121206917594,79.79500948559038,True,11.078421618238698,0.0,-0.45913856533367237
requests,baseline,37,21,0.43243243243243246,15.0,2.918918918918919,0.6601601601601601,0.9143965025207789,0.8311275910036978,0.952937221499481,-42.358113787497444,-67.18899542152549,-40.2690689120506,-64.05542810835522,24.830881634028046,True,5.5733306459399605,2.5056825725400245e-08,-0.3883618720189285
scrapy,baseline,439,174,0.6036446469248291,192.0,4.045558086560365,0.8997773399823512,0.7541142476105861,0.9745430147194194,0.9856374141216714,-556.2969622368148,-653.8882205572462,-549.9788516383858,-644.4110546596027,97.5912583204314,True,2.295483940561964,0.021705345860144387,-0.09676467694658675
sqlalchemy,baseline,669,243,0.6367713004484304,3270.0,20.411061285500747,0.9390919405661291,0.6550655433975532,0.9093360142804052,0.9694836642318161,-319.31509835461026,-581.9173290549766,-312.3289754679292,-571.4381447249549,262.6022307003663,True,11.402516393745993,0.0,-0.2901545114311162
tornado,baseline,107,37,0.6542056074766355,68.0,3.94392523364486,0.8443991672941491,0.8539498352359999,0.8299367391692952,0.9597903177250884,-48.213400308631144,-99.56971913991481,-44.99156448334269,-94.73696540198213,51.356318831283666,True,7.580017957348236,3.4861002973229915e-14,-0.4727998524801322
